Cities,Latitude,Longitude,Country,Hotel Name
yellowknife,-13.28,-50.16,BR,São Miguel do Araguaia
fortuna,-0.74,-90.35,EC,Puerto Ayora
vaini,-0.72,8.78,GA,Port-Gentil
jamestown,-13.2,49.05,MG,Ambilobe
samalaeulu,3.07,172.79,KI,Isles Sunset Lodge
denpasar,-9.8,-139.03,PF,Atuona
cape town,-8.65,115.22,ID,Denpasar
walvis bay,19.73,-155.09,US,Hilo
saint george,-5.79,-35.21,BR,Natal
buraydah,-0.6,73.08,MV,Addu City
trebinje,18.22,42.51,SA,Abha
khatanga,5.41,100.34,MY,George Town
bredasdorp,-5.2,-35.46,BR,Touros
verona,0.54,123.06,ID,Gorontalo
kyshtovka,-19.55,169.27,VU,Isangel
new norfolk,-12.7,-38.32,BR,Camaçari
canutama,-9.17,-60.63,BR,Aripuanã
tarudant,-6.53,-64.38,BR,Canutama
tuktoyaktuk,-6.98,-34.83,BR,Cabedelo
faanui,5.66,-53.78,GF,Mana
dum duma,-16.48,-151.75,PF,Vaitape
namanyere,4.42,-7.35,CI,Tabou
san patricio,-4.97,23.45,CD,Lusambo
taoudenni,19.22,-104.7,MX,San Patricio
chuy,11.0,122.67,PH,Pototan
hobyo,-19.06,-169.92,NU,Alofi
taos,5.35,48.53,SO,Hobyo
belushya guba,-14.27,50.17,MG,Sambava
tiarei,-2.67,141.3,PG,Vanimo
kaitangata,-17.53,-149.33,PF,Maha'ena
luba,-4.15,13.55,CG,Madingou
garden city,3.46,8.55,GQ,Luba
guanica,-8.84,13.23,AO,Luanda
mahebourg,6.5,2.6,BJ,Porto-Novo
esperantinopolis,4.64,103.44,MY,Paka
batemans bay,-4.87,-44.71,BR,Esperantinópolis
awjilah,11.14,123.72,PH,Bantayan
marcona,-12.07,134.27,AU,West Arnhem
nador,-1.53,-49.22,BR,Muaná
sitka,14.9,-24.5,CV,Sao Filipe
kano,-15.53,167.17,VU,Luganville
plettenberg bay,5.4,125.46,PH,Municipality of Sarangani
lagoa,-19.84,34.84,MZ,Beira
anamur,-1.4,120.75,ID,Poso
kota bahru,5.62,-54.4,SR,Moengo
padang,6.13,102.24,MY,Kota Bharu
lago da pedra,-0.95,100.35,ID,Padang
nosy varika,-4.33,-45.17,BR,São José dos Curicas
souillac,-3.8,102.27,ID,Bengkulu
camacha,-9.91,-63.04,BR,Ariquemes
tongchuan,3.98,13.18,CM,Abong Mbang
malaya vishera,-0.89,119.87,ID,Palu
mys shmidta,-3.43,10.66,GA,Mayumba
rawannawi,4.95,-77.37,CO,Pizarro
kologriv,12.06,-61.75,GD,Saint George's
odienne,-7.74,-72.65,BR,Rodrigues Alves
meulaboh,7.04,134.26,PW,Klouklubed
geraldton,4.14,96.13,ID,Meulaboh
sabha,-3.02,16.9,CD,Mushie
longyearbyen,-0.98,-77.82,EC,Tena
ilulissat,-6.88,112.21,ID,Musholla Babut Taubat
skalistyy,2.3,111.82,MY,Sibu
koumac,-8.9,-35.15,BR,São José da Coroa Grande
morgan city,-2.02,147.27,PG,Lorengau
guerrero negro,14.69,-17.44,SN,Dakar
hamilton,-16.78,47.65,MG,Tsaratanana
tautira,13.42,75.25,IN,Sringeri
meyungs,-17.73,-149.15,PF,Tautira
port hardy,1.31,32.46,UG,Nakasongola
dakoro,-7.26,-34.91,BR,João Pessoa
arlit,6.87,-10.82,LR,Tubmanburg
solnechnyy,5.97,80.42,LK,Weligama
massa marittima,1.6,11.58,GA,Oyem
mayor pablo lagerenza,-5.67,132.75,ID,Tual
galesong,-6.22,149.55,PG,Kandrian
cockburn town,-5.32,119.37,ID,Kampung Parang
berlevag,4.75,-6.64,CI,San-Pedro
viedma,5.6,14.08,CM,Betare Oya
okmulgee,4.28,21.02,CD,Gbadolite
los llanos de aridane,-2.53,112.95,ID,Sampit
saleaula,1.0,-52.0,BR,Teresinha
vostok,0.52,25.2,CD,Kisangani
seybaplaya,-6.43,39.55,TZ,Sokoni
shingu,-16.25,-47.95,BR,Luziânia
codrington,17.42,121.44,PH,Tabuk
laguna,7.82,-80.4,PA,Agua Buena
brigantine,4.03,-74.97,CO,Guamo
talaya,-11.21,13.84,AO,Sumbe
tumannyy,-11.7,43.26,KM,Moroni
alice springs,1.74,98.78,ID,Sibolga
tchollire,2.62,44.89,SO,Wanlaweyn
kushima,-3.89,-59.09,BR,Centro
batyrevo,-15.62,-46.42,BR,Buritis
marathon,12.63,80.17,IN,Mahabalipuram
hovd,18.39,42.45,SA,الغال
krutinka,-12.9,45.08,YT,Boueni
ternate,7.3,80.64,LK,Kandy
zalantun,0.8,127.4,ID,Ternate
ozernovskiy,14.46,100.37,TH,Phak Hai
thuin,-13.7,-76.22,PE,Pisco
ola,4.87,-2.24,GH,Axim
belaya gora,-2.57,150.8,PG,Kaewieng
flinders,-13.85,136.42,AU,Alyangula
kalabo,-0.91,122.88,ID,CV. Karya Alam Perkasa
bubaque,-0.09,11.94,GA,Booue
ust-ilimsk,11.28,-15.83,GW,Bubaque
upington,0.6,-80.03,EC,Muisne
tadine,15.08,-87.88,HN,Las Marias
coxim,-6.05,26.92,CD,Kabalo
konstantinovka,18.22,-63.06,AI,The Valley
manoel urbano,-17.53,146.03,AU,Innisfail
satitoa,-8.84,-69.26,BR,Manoel Urbano
dhidhdhoo,-17.71,-39.25,BR,Caravelas
matara,6.88,73.1,MV,Dhidhdhoo
mantua,5.95,80.54,LK,Matara
evensk,-7.84,-79.15,PE,Chiclín
maragogi,5.2,96.7,ID,Bireuën
toliary,-9.01,-35.22,BR,Maragogi
bobrovka,14.53,120.55,PH,Mariveles
gualdo tadino,5.79,0.9,GH,Anloga
tawnat,-12.23,136.77,AU,Nhulunbuy
leningradskiy,5.4,26.49,CF,Obo
arinos,17.02,54.09,OM,Salalah
coahuayana,-15.92,-46.11,BR,Arinos
freeport,5.41,100.34,MY,George Town
mpika,11.82,99.78,TH,Prachuap Khiri Khan
