Cities,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Latitude,Longitude
yellowknife,27.81,72,45,3.49,BR,-13.28,-50.16
fortuna,27.51,74,20,7.2,EC,-0.74,-90.35
vaini,30.0,79,20,5.1,GA,-0.72,8.78
jamestown,23.69,83,10,1.54,MG,-13.2,49.05
samalaeulu,28.19,79,100,4.22,KI,3.07,172.79
denpasar,26.98,79,72,9.11,PF,-9.8,-139.03
cape town,28.0,100,40,1.0,ID,-8.65,115.22
walvis bay,20.76,83,1,2.1,US,19.73,-155.09
saint george,30.0,62,20,5.7,BR,-5.79,-35.21
buraydah,29.21,77,39,6.7,MV,-0.6,73.08
trebinje,21.47,77,40,2.6,SA,18.22,42.51
khatanga,27.31,94,40,1.5,MY,5.41,100.34
bredasdorp,30.0,62,20,5.7,BR,-5.2,-35.46
verona,24.62,87,9,1.03,ID,0.54,123.06
kyshtovka,22.73,81,66,4.56,VU,-19.55,169.27
new norfolk,29.0,74,40,4.1,BR,-12.7,-38.32
canutama,29.19,65,95,1.73,BR,-9.17,-60.63
tarudant,29.45,70,100,1.75,BR,-6.53,-64.38
tuktoyaktuk,30.0,70,20,5.1,BR,-6.98,-34.83
faanui,28.21,72,85,5.47,GF,5.66,-53.78
dum duma,27.49,76,77,6.63,PF,-16.48,-151.75
namanyere,28.59,75,80,3.6,CI,4.42,-7.35
san patricio,25.4,72,33,1.11,CD,-4.97,23.45
taoudenni,29.0,66,40,3.35,MX,19.22,-104.7
chuy,26.49,83,14,1.99,PH,11.0,122.67
hobyo,21.0,100,14,1.0,NU,-19.06,-169.92
taos,29.61,71,48,5.17,SO,5.35,48.53
belushya guba,25.08,85,3,3.52,MG,-14.27,50.17
tiarei,26.46,83,88,1.17,PG,-2.67,141.3
kaitangata,25.0,65,20,3.1,PF,-17.53,-149.33
luba,25.93,83,98,0.6,CG,-4.15,13.55
garden city,30.0,84,40,2.1,GQ,3.46,8.55
guanica,28.0,83,40,3.6,AO,-8.84,13.23
mahebourg,31.0,79,40,6.2,BJ,6.5,2.6
esperantinopolis,25.78,100,79,0.86,MY,4.64,103.44
batemans bay,32.18,61,70,1.59,BR,-4.87,-44.71
awjilah,29.23,77,23,4.91,PH,11.14,123.72
marcona,22.67,92,27,3.84,AU,-12.07,134.27
nador,29.22,80,48,1.22,BR,-1.53,-49.22
sitka,24.35,72,9,7.4,CV,14.9,-24.5
kano,23.23,84,96,2.15,VU,-15.53,167.17
plettenberg bay,28.68,76,30,3.41,PH,5.4,125.46
lagoa,26.0,69,20,4.6,MZ,-19.84,34.84
anamur,26.73,75,100,2.01,ID,-1.4,120.75
kota bahru,30.49,61,96,2.98,SR,5.62,-54.4
padang,26.83,94,20,2.06,MY,6.13,102.24
lago da pedra,26.07,83,100,5.69,ID,-0.95,100.35
nosy varika,29.92,79,75,0.62,BR,-4.33,-45.17
souillac,25.91,85,100,1.99,ID,-3.8,102.27
camacha,24.34,79,100,3.48,BR,-9.91,-63.04
tongchuan,21.26,97,88,2.2,CM,3.98,13.18
malaya vishera,25.51,81,100,1.42,ID,-0.89,119.87
mys shmidta,26.68,88,84,2.31,GA,-3.43,10.66
rawannawi,28.56,75,59,3.1,CO,4.95,-77.37
kologriv,30.0,70,20,9.3,GD,12.06,-61.75
odienne,26.0,100,90,1.5,BR,-7.74,-72.65
meulaboh,26.0,94,75,2.6,PW,7.04,134.26
geraldton,26.03,89,100,5.95,ID,4.14,96.13
sabha,26.58,73,68,1.13,CD,-3.02,16.9
longyearbyen,23.0,100,90,2.6,EC,-0.98,-77.82
ilulissat,26.15,85,28,3.25,ID,-6.88,112.21
skalistyy,25.73,94,75,1.0,MY,2.3,111.82
koumac,28.37,72,100,3.87,BR,-8.9,-35.15
morgan city,27.38,79,36,1.95,PG,-2.02,147.27
guerrero negro,24.0,78,7,8.2,SN,14.69,-17.44
hamilton,23.95,65,43,1.84,MG,-16.78,47.65
tautira,22.09,90,100,0.34,IN,13.42,75.25
meyungs,25.0,65,20,3.1,PF,-17.73,-149.15
port hardy,20.31,90,100,1.11,UG,1.31,32.46
dakoro,30.0,70,20,5.1,BR,-7.26,-34.91
arlit,28.59,78,100,1.99,LR,6.87,-10.82
solnechnyy,27.02,83,98,2.22,LK,5.97,80.42
massa marittima,22.1,95,100,1.46,GA,1.6,11.58
mayor pablo lagerenza,28.28,79,7,8.51,ID,-5.67,132.75
galesong,25.52,87,92,2.23,PG,-6.22,149.55
cockburn town,25.0,100,90,1.5,ID,-5.32,119.37
berlevag,28.32,77,71,3.81,CI,4.75,-6.64
viedma,20.53,92,100,1.58,CM,5.6,14.08
okmulgee,24.46,89,100,0.69,CD,4.28,21.02
los llanos de aridane,24.95,98,97,0.89,ID,-2.53,112.95
saleaula,25.78,96,99,1.9,BR,1.0,-52.0
vostok,20.8,97,100,0.41,CD,0.52,25.2
seybaplaya,27.0,83,75,2.6,TZ,-6.43,39.55
shingu,23.36,64,75,1.5,BR,-16.25,-47.95
codrington,25.02,82,34,0.9,PH,17.42,121.44
laguna,30.0,70,75,3.1,PA,7.82,-80.4
brigantine,28.0,66,99,0.79,CO,4.03,-74.97
talaya,26.63,86,0,2.13,AO,-11.21,13.84
tumannyy,26.68,79,20,6.31,KM,-11.7,43.26
alice springs,25.29,80,100,1.69,ID,1.74,98.78
tchollire,26.94,81,97,3.95,SO,2.62,44.89
kushima,28.99,84,78,1.3,BR,-3.89,-59.09
batyrevo,26.15,65,81,1.63,BR,-15.62,-46.42
marathon,30.78,74,20,4.1,IN,12.63,80.17
hovd,21.5,77,40,2.6,SA,18.39,42.45
krutinka,28.0,83,40,8.2,YT,-12.9,45.08
ternate,22.23,95,100,0.72,LK,7.3,80.64
zalantun,27.91,78,79,1.11,ID,0.8,127.4
ozernovskiy,27.81,77,34,3.65,TH,14.46,100.37
thuin,21.53,77,100,3.6,PE,-13.7,-76.22
ola,28.19,80,34,3.97,GH,4.87,-2.24
belaya gora,27.98,75,9,3.78,PG,-2.57,150.8
flinders,22.0,100,90,4.34,AU,-13.85,136.42
kalabo,25.73,82,15,0.43,ID,-0.91,122.88
bubaque,25.46,86,89,1.07,GA,-0.09,11.94
ust-ilimsk,26.38,72,37,6.9,GW,11.28,-15.83
upington,30.0,79,40,2.6,EC,0.6,-80.03
tadine,29.74,74,75,2.1,HN,15.08,-87.88
coxim,23.07,91,23,1.62,CD,-6.05,26.92
konstantinovka,29.76,62,40,6.7,AI,18.22,-63.06
manoel urbano,20.91,84,45,3.7,AU,-17.53,146.03
satitoa,22.44,87,100,1.57,BR,-8.84,-69.26
dhidhdhoo,29.92,60,38,3.05,BR,-17.71,-39.25
matara,28.18,78,100,0.75,MV,6.88,73.1
mantua,27.01,84,99,2.65,LK,5.95,80.54
evensk,23.0,73,20,5.7,PE,-7.84,-79.15
maragogi,25.07,88,100,2.88,ID,5.2,96.7
toliary,28.16,74,99,3.84,BR,-9.01,-35.22
bobrovka,30.19,74,75,2.6,PH,14.53,120.55
gualdo tadino,29.0,79,20,5.1,GH,5.79,0.9
tawnat,24.0,83,40,2.6,AU,-12.23,136.77
leningradskiy,22.74,90,98,1.1,CF,5.4,26.49
arinos,29.0,83,20,4.1,OM,17.02,54.09
coahuayana,27.39,60,80,1.8,BR,-15.92,-46.11
freeport,27.31,94,40,1.5,MY,5.41,100.34
mpika,28.09,77,0,3.18,TH,11.82,99.78
