Cities,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Latitude,Longitude
taolanaro,7.23,49,75,5.1,CA,62.46,-114.35
puerto ayora,13.88,55,0,4.47,CZ,48.62,14.26
awbari,15.16,76,1,1.5,US,40.6,-124.16
tahta,29.7,12,0,3.51,LY,26.59,12.78
port-gentil,32.05,10,0,5.1,EG,26.77,31.5
busselton,14.66,66,20,2.6,CA,49.06,-122.47
barentsburg,20.0,100,90,2.6,US,22.08,-159.32
mega,12.0,37,75,7.7,US,42.1,-79.24
albany,14.78,100,100,4.25,ET,4.05,38.3
hobart,16.5,13,5,2.68,US,42.6,-73.97
asfi,-0.21,87,73,3.98,RU,64.38,-173.3
tomatlan,19.04,79,14,4.91,MA,32.3,-9.24
esperance,31.97,45,0,4.13,MX,19.93,-105.25
rikitea,9.0,76,92,6.2,FO,62.23,-6.59
samalaeulu,28.19,79,100,4.22,KI,3.07,172.79
atuona,14.18,30,75,6.7,US,43.21,-75.46
saint anthony,10.0,57,40,4.1,GL,60.92,-46.05
ribeira grande,12.95,24,1,5.1,US,45.02,-93.22
grand river south east,17.0,88,75,6.7,PT,38.52,-28.7
lata,5.0,68,20,5.7,GL,64.18,-51.72
darhan,21.04,63,33,2.68,PT,40.16,-8.33
point fortin,8.63,49,0,4.49,MN,49.49,105.92
hilo,32.22,57,24,6.52,TT,10.18,-61.68
walvis bay,20.76,83,1,2.1,US,19.73,-155.09
brookings,22.7,21,1,1.5,US,37.1,-113.58
caucaia,13.38,62,1,2.6,US,44.31,-96.8
chokurdakh,31.0,25,12,4.6,SA,26.33,43.98
marivan,-2.28,96,98,2.59,RU,70.63,147.92
kutum,9.91,75,26,1.71,IR,35.52,46.18
kaoma,26.66,17,62,2.28,SD,14.2,24.67
akdepe,7.22,73,66,1.34,CA,48.65,-53.11
bethel,20.98,82,90,6.2,TM,42.06,59.38
abha,15.65,24,20,6.2,US,41.37,-73.41
trebinje,21.47,77,40,2.6,SA,18.22,42.51
rhyl,17.0,59,27,7.7,BA,42.71,18.34
dehloran,19.14,46,22,5.1,GB,53.32,-3.49
georgetown,26.18,25,0,2.13,IR,32.69,47.27
khatanga,27.31,94,40,1.5,MY,5.41,100.34
grindavik,-16.49,92,28,4.73,RU,71.97,102.5
ales,8.0,70,75,6.7,IS,63.84,-22.43
kahului,22.22,48,83,3.58,FR,44.13,4.08
palabuhanratu,21.45,69,40,3.6,US,20.89,-156.47
port elizabeth,-12.54,93,100,2.92,RU,73.51,80.55
amderma,19.47,45,75,6.7,US,36.12,-97.06
beringovskiy,14.36,28,1,2.6,US,38.93,-119.98
lolua,-0.8,99,100,4.92,RU,63.05,179.32
bambous virieux,15.48,67,1,3.1,US,36.62,-121.92
verona,24.62,87,9,1.03,ID,0.54,123.06
victoria,22.32,33,0,1.5,IT,45.42,11.03
sabzevar,27.73,85,88,0.89,HK,22.29,114.16
pokrovka,21.36,28,3,4.5,IR,36.21,57.68
nizhneyansk,11.35,44,82,5.46,KG,42.34,78.01
bluff,16.4,77,100,1.34,RU,51.32,42.77
illoqqortoormiut,-5.19,88,14,3.29,RU,69.7,170.31
honningsvag,-1.69,89,100,4.93,RU,62.14,117.63
sur,4.0,86,75,3.1,NO,70.98,25.97
arraial do cabo,33.48,40,0,1.89,OM,22.57,59.53
