Cities,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Latitude,Longitude
sao miguel do araguaia,10.16,85,100,3.26,NZ,-46.19,168.86
yellowknife,27.81,72,45,3.49,BR,-13.28,-50.16
loucovice,18.43,100,25,2.53,ID,-9.86,124.28
fortuna,27.51,74,20,7.2,EC,-0.74,-90.35
vaini,30.0,79,20,5.1,GA,-0.72,8.78
hermanus,25.0,94,75,3.1,TO,-21.2,-175.2
aldergrove,16.11,91,100,0.45,ZA,-34.42,19.23
punta arenas,12.41,98,56,5.2,AU,-33.65,115.33
kapaa,7.89,87,90,4.1,CL,-53.15,-70.92
jamestown,23.69,83,10,1.54,MG,-13.2,49.05
ushuaia,11.66,71,40,2.6,AU,-42.88,147.33
saint-philippe,7.0,81,100,2.6,AR,-54.8,-68.3
provideniya,22.92,83,90,2.1,RE,-21.36,55.77
klaksvik,13.0,76,75,6.2,AU,-33.87,121.9
butaritari,23.85,77,40,7.56,PF,-23.12,-134.97
denpasar,26.98,79,72,9.11,PF,-9.8,-139.03
cape town,28.0,100,40,1,ID,-8.65,115.22
narsaq,16.44,93,75,6.7,ZA,-33.93,18.42
natal,27.99,15,0,6.2,NA,-22.96,14.51
saint george,30.0,62,20,5.7,BR,-5.79,-35.21
hithadhoo,30.2,58,40,7.2,BR,-3.74,-38.65
buraydah,29.21,77,39,6.7,MV,-0.6,73.08
east london,18.3,55,64,2.88,ZM,-14.78,24.8
bonavista,19.95,81,85,6.46,ZA,-33.02,27.91
bredasdorp,30.0,62,20,5.7,BR,-5.2,-35.46
dikson,16.0,87,100,1,ZA,-34.53,20.04
stillwater,19.0,88,100,3.6,ZA,-33.92,25.57
gorontalo,23.95,94,20,1.5,MU,-20.34,57.76
pevek,10.54,78,87,8.11,NZ,-46.6,168.33
ahipara,21.57,73,75,4.6,BR,-22.97,-42.03
comodoro rivadavia,13.4,83,34,1.55,NZ,-35.17,173.17
te anau,22.0,53,62,4.1,AR,-45.87,-67.5
khonuu,10.74,88,94,1.74,NZ,-45.42,167.72
wasilla,13.0,87,90,2.1,CL,-29.95,-71.34
kyshtovka,22.73,81,66,4.56,VU,-19.55,169.27
kaeo,17.78,49,17,3.13,AR,-38.55,-58.74
samusu,10.0,13,21,1.2,NZ,-35.1,173.78
new norfolk,29.0,74,40,4.1,BR,-12.7,-38.32
port alfred,10.33,83,45,1.46,AU,-42.78,147.06
aripuana,17.78,93,100,6.5,ZA,-33.59,26.89
canutama,29.19,65,95,1.73,BR,-9.17,-60.63
tarudant,29.45,70,100,1.75,BR,-6.53,-64.38
tuktoyaktuk,30.0,70,20,5.1,BR,-6.98,-34.83
north myrtle beach,18.26,55,0,10.09,AU,-24.87,113.63
mana,23.89,92,15,0.45,MU,-20.01,57.66
dum duma,27.49,76,77,6.63,PF,-16.48,-151.75
quarai,23.02,48,13,3.14,CL,-22.09,-70.2
gull lake,15.87,49,45,1.46,BR,-30.39,-56.45
lusambo,16.24,92,43,1.79,TZ,-7.52,31.05
san patricio,25.4,72,33,1.11,CD,-4.97,23.45
kamiiso,15.86,56,98,3.59,UY,-33.7,-53.46
hobyo,21.0,100,14,1,NU,-19.06,-169.92
namibe,10.77,87,92,3.25,NZ,-46.13,167.68
sambava,29.22,45,0,2.9,AO,-15.2,12.15
belushya guba,25.08,85,3,3.52,MG,-14.27,50.17
tiarei,26.46,83,88,1.17,PG,-2.67,141.3
kaitangata,25.0,65,20,3.1,PF,-17.53,-149.33
cabo san lucas,11.67,67,73,3.58,NZ,-46.28,169.85
moron,22.0,100,39,0.5,CK,-21.21,-159.78
vaitupu,17.63,45,0,5.1,AR,-34.65,-58.62
luba,25.93,83,98,0.6,CG,-4.15,13.55
guanica,28.0,83,40,3.6,AO,-8.84,13.23
corinto,13.33,79,2,2.68,AU,-38.6,145.59
sesimbra,14.35,100,47,2.03,AU,-28.65,153.62
fairbanks,24.0,94,20,1.5,MU,-20.41,57.7
batemans bay,32.18,61,70,1.59,BR,-4.87,-44.71
sulangan,11.21,93,11,3.45,AU,-35.72,150.18
marcona,22.67,92,27,3.84,AU,-12.07,134.27
muana,24.44,47,0,0.45,NA,-22.12,14.28
nador,29.22,80,48,1.22,BR,-1.53,-49.22
kano,23.23,84,96,2.15,VU,-15.53,167.17
sarangani,13.85,100,11,1.63,TL,-8.93,125.41
thunder bay,19.09,57,99,1.68,ZA,-34.05,23.37
lagoa,26.0,69,20,4.6,MZ,-19.84,34.84
treinta y tres,11.0,76,0,2.1,AU,-34.2,142.15
opuwo,14.85,60,96,2.83,UY,-33.23,-54.38
poso,20.04,25,0,4.23,NA,-18.06,13.84
anamur,26.73,75,100,2.01,ID,-1.4,120.75
severo-kurilsk,11.0,87,4,2.6,AU,-33.18,138.02
lago da pedra,26.07,83,100,5.69,ID,-0.95,100.35
